epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.053,1.71661,2.45967,1.5693,0.81398,0.07879,0.26195,0.12684,1.86715,2.95196,1.70077,0.0675593,0.000327684,0.000327684
2,251.114,1.61414,1.82903,1.51292,0.52374,0.44545,0.44226,0.22824,1.6226,1.8987,1.52946,0.0345462,0.000647929,0.000647929
3,372.887,1.57486,1.71217,1.50525,0.56165,0.48788,0.48033,0.21061,1.85656,1.97352,1.70791,0.00151995,0.000954974,0.000954974
4,498.001,1.54367,1.66517,1.46666,0.64347,0.50303,0.56856,0.28304,1.61881,1.80821,1.52597,0.0009406,0.0009406,0.0009406
5,620.395,1.49503,1.58293,1.45233,0.63344,0.55758,0.5821,0.28291,1.62257,1.70651,1.54565,0.0009208,0.0009208,0.0009208
6,743.745,1.47852,1.48715,1.43129,0.60959,0.50303,0.55721,0.27744,1.65642,1.69953,1.57145,0.000901,0.000901,0.000901
7,867.666,1.46918,1.54044,1.39739,0.67442,0.49091,0.57076,0.29745,1.59272,1.60644,1.47945,0.0008812,0.0008812,0.0008812
8,991.046,1.45453,1.43107,1.39656,0.64062,0.58879,0.63542,0.33722,1.50235,1.48109,1.40654,0.0008614,0.0008614,0.0008614
9,1115.87,1.44564,1.44186,1.38711,0.74322,0.6052,0.68449,0.37456,1.51376,1.3952,1.43038,0.0008416,0.0008416,0.0008416
10,1237.41,1.45025,1.36236,1.37462,0.76971,0.59394,0.69382,0.39168,1.43221,1.38534,1.37977,0.0008218,0.0008218,0.0008218
11,1358.69,1.44925,1.32801,1.3836,0.66506,0.66061,0.68666,0.3655,1.52159,1.38392,1.43883,0.000802,0.000802,0.000802
12,1480.16,1.42649,1.36157,1.3647,0.71599,0.61515,0.68376,0.35671,1.57351,1.38283,1.44652,0.0007822,0.0007822,0.0007822
13,1600.65,1.36606,1.26704,1.34919,0.76881,0.5697,0.68573,0.36432,1.5769,1.37664,1.46399,0.0007624,0.0007624,0.0007624
14,1721.82,1.37051,1.24684,1.34403,0.71755,0.61818,0.68676,0.38678,1.47997,1.38024,1.40916,0.0007426,0.0007426,0.0007426
15,1843.33,1.37063,1.23388,1.31123,0.73003,0.66374,0.74646,0.38898,1.5359,1.32152,1.42322,0.0007228,0.0007228,0.0007228
16,1964.93,1.37112,1.23755,1.31382,0.77481,0.61516,0.72198,0.41506,1.47516,1.30366,1.37878,0.000703,0.000703,0.000703
17,2086.27,1.36485,1.25929,1.31401,0.70494,0.67273,0.70747,0.40186,1.44419,1.37257,1.38623,0.0006832,0.0006832,0.0006832
18,2207.74,1.34122,1.18253,1.29105,0.77532,0.65758,0.7331,0.42357,1.48527,1.24736,1.37347,0.0006634,0.0006634,0.0006634
19,2329.33,1.28915,1.14654,1.2823,0.82039,0.62285,0.73657,0.40368,1.51849,1.23816,1.39005,0.0006436,0.0006436,0.0006436
20,2450.83,1.29649,1.11918,1.27523,0.78237,0.66451,0.73576,0.43415,1.41287,1.20279,1.33462,0.0006238,0.0006238,0.0006238
21,2572.02,1.32214,1.12864,1.29049,0.71946,0.68485,0.73641,0.4284,1.46424,1.19726,1.36014,0.000604,0.000604,0.000604
22,2693.39,1.27937,1.10802,1.26502,0.7459,0.69091,0.74801,0.42954,1.43995,1.2308,1.35196,0.0005842,0.0005842,0.0005842
23,2815.12,1.28694,1.04761,1.26893,0.8175,0.66061,0.75467,0.42287,1.49685,1.17187,1.37265,0.0005644,0.0005644,0.0005644
24,2936.6,1.31614,1.05795,1.29097,0.76393,0.67273,0.75911,0.44085,1.47432,1.16495,1.37931,0.0005446,0.0005446,0.0005446
25,3058.06,1.2431,1.07085,1.23595,0.74638,0.64242,0.73646,0.43518,1.43014,1.16851,1.33352,0.0005248,0.0005248,0.0005248
